Time_1,Time_2,Time_3,Time_4,Time_5,Time_6
22610.8,23402,25761.1,23517.8,21234.9,25211.4
4.71811,4.71545,4.71178,4.71811,4.61833,4.66084
1362.12,1136.53,1015.95,1013.86,1279.14,1480.47
8.5802,8.46879,8.07521,8.09969,8.44195,8.05993
22569.2,23085.5,22431.4,22512.1,25177.3,29070.2
5.0298,4.59473,6.4292,5.05694,4.98537,5.02618
30347.9,28674.2,32575.9,27503.9,26097.8,26088.4
23584.8,23237.4,21910.8,27176.3,25775.3,27187.7
17579.6,16957.5,18557.2,16652,17313.2,17883.6
7.97304,6.41918,4.35956,5.09114,5.77761,5.0701
12.003,14.6035,9.56957,11.7144,35.1996,11.9832
6.69989,6.71575,6.6835,6.67644,6.53408,6.71843
8.02517,8.04439,8.01917,8.0936,8.01917,8.05924
1787.2,1845.07,1818.74,1443.97,1686.95,1508.26
9197.99,7369.46,6608.6,7228.95,8306.22,8543.53
356.268,410.9,254.444,259.937,286.54,244.378
6.92283,6.94786,6.89261,7.01873,6.89526,6.90926
13.1774,8.15329,9.13852,8.21522,8.11919,5.22249
3.85566,3.8425,3.86639,3.84857,3.82195,3.83233
28.4031,16.1368,13.9605,21.1647,32.1706,16.9427
18775,18898.9,21318.6,19214.8,19217.5,20287.2
5385.77,4737.33,4422.96,5536.62,7582.88,8446.59
13359.1,12586.6,11774.6,13868.2,14759.8,17056.2
14569.3,13455.1,15511.4,16575.6,14173.4,16215.8
14090,12382.3,12888.6,12853.1,11619.5,14001.8
4.20706,4.19923,4.19737,4.20706,4.16223,4.20087
17.1936,13.53,6.17321,9.89621,22.97,28.5089
7.77385,9.41672,5.93683,7.15302,7.57434,7.71399
5766.31,5796.94,5034.58,6062.98,5721.02,7371.44
7.49814,5.95511,7.47656,7.50954,19.2878,17.876
9.19314,8.64123,8.56721,8.60335,12.902,5.98436
4.44322,4.69676,4.68113,4.69676,5.52964,4.68253
6.25792,6.17091,6.20794,6.16795,6.30235,6.34742
5.09785,5.32062,7.19133,5.28329,5.21794,5.26955
4.44711,4.4169,4.4841,4.51668,4.52334,7.07295
744.998,856.086,546.141,457.318,501.885,390.987
263.684,210.729,163.43,215.553,352.367,604.807
6.47931,6.44646,6.45757,4.5647,6.43498,6.44824
7.54158,9.81833,5.59223,5.20793,5.60101,5.15666
23145,23145,26215.2,27659.9,27144.9,30645.9
11.3021,11.2707,12.4987,9.69554,11.2052,11.203
16674.4,13941.4,17728.7,18672.5,18639.1,16851.3
